Table: ZPM_DMS_DOC_GR


	MANDT	     CLINT	KLART1	CLASS	POSNR	ADZHL	KLART	CUSTR	     ATINN	ATZHL	ADZHL1	ATWRT	ATWTB	SPRAS	ADZHL2	ATNAM	ADZHL3	DOKAR

	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0001	  0000	AD	Audit	E	  0000	DOC_GROUP	  0000	DOC
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0001	  0000	AD	Audit	E	  0000	DOC_GROUP	  0000	EQU
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0001	  0000	AD	Audit	E	  0000	DOC_GROUP	  0000	MAT
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0002	  0000	CA	Calculation / Static Calculati	E	  0000	DOC_GROUP	  0000	DOC
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0002	  0000	CA	Calculation / Static Calculati	E	  0000	DOC_GROUP	  0000	EQU
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0002	  0000	CA	Calculation / Static Calculati	E	  0000	DOC_GROUP	  0000	MAT
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0003	  0000	CT	Catalogue / Brochures	E	  0000	DOC_GROUP	  0000	DOC
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0003	  0000	CT	Catalogue / Brochures	E	  0000	DOC_GROUP	  0000	EQU
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0003	  0000	CT	Catalogue / Brochures	E	  0000	DOC_GROUP	  0000	MAT
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0004	  0000	CO	Certificate of Origin	E	  0000	DOC_GROUP	  0000	DOC
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0004	  0000	CO	Certificate of Origin	E	  0000	DOC_GROUP	  0000	EQU
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0004	  0000	CO	Certificate of Origin	E	  0000	DOC_GROUP	  0000	MAT
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0005	  0000	CE	Certification	E	  0000	DOC_GROUP	  0000	DOC
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0005	  0000	CE	Certification	E	  0000	DOC_GROUP	  0000	EQU
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0005	  0000	CE	Certification	E	  0000	DOC_GROUP	  0000	MAT
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0006	  0000	DW	Drawing	E	  0000	DOC_GROUP	  0000	DOC
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0006	  0000	DW	Drawing	E	  0000	DOC_GROUP	  0000	EQU
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0006	  0000	DW	Drawing	E	  0000	DOC_GROUP	  0000	MAT
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0007	  0000	EA	Equipment Alert	E	  0000	DOC_GROUP	  0000	DOC
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0007	  0000	EA	Equipment Alert	E	  0000	DOC_GROUP	  0000	EQU
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0007	  0000	EA	Equipment Alert	E	  0000	DOC_GROUP	  0000	MAT
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0008	  0000	HZ	HAZOP Study	E	  0000	DOC_GROUP	  0000	DOC
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0008	  0000	HZ	HAZOP Study	E	  0000	DOC_GROUP	  0000	EQU
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0008	  0000	HZ	HAZOP Study	E	  0000	DOC_GROUP	  0000	MAT
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0009	  0000	MM	Manuf. Maint. Manual	E	  0000	DOC_GROUP	  0000	DOC
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0009	  0000	MM	Manuf. Maint. Manual	E	  0000	DOC_GROUP	  0000	EQU
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0009	  0000	MM	Manuf. Maint. Manual	E	  0000	DOC_GROUP	  0000	MAT
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0010	  0000	MO	Manuf. Operation Manual	E	  0000	DOC_GROUP	  0000	DOC
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0010	  0000	MO	Manuf. Operation Manual	E	  0000	DOC_GROUP	  0000	EQU
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0010	  0000	MO	Manuf. Operation Manual	E	  0000	DOC_GROUP	  0000	MAT
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0011	  0000	MI	Manuf. Recommendation & Instru	E	  0000	DOC_GROUP	  0000	DOC
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0011	  0000	MI	Manuf. Recommendation & Instru	E	  0000	DOC_GROUP	  0000	EQU
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0011	  0000	MI	Manuf. Recommendation & Instru	E	  0000	DOC_GROUP	  0000	MAT
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0012	  0000	PC	Pictures / Photos	E	  0000	DOC_GROUP	  0000	DOC
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0012	  0000	PC	Pictures / Photos	E	  0000	DOC_GROUP	  0000	EQU
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0012	  0000	PC	Pictures / Photos	E	  0000	DOC_GROUP	  0000	MAT
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0013	  0000	QU	Quotation (Damage statements,	E	  0000	DOC_GROUP	  0000	DOC
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0013	  0000	QU	Quotation (Damage statements,	E	  0000	DOC_GROUP	  0000	EQU
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0013	  0000	QU	Quotation (Damage statements,	E	  0000	DOC_GROUP	  0000	MAT
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0014	  0000	RR	Reports Repair & Overhaul	E	  0000	DOC_GROUP	  0000	DOC
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0014	  0000	RR	Reports Repair & Overhaul	E	  0000	DOC_GROUP	  0000	EQU
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0014	  0000	RR	Reports Repair & Overhaul	E	  0000	DOC_GROUP	  0000	MAT
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0015	  0000	SL	Spare Parts List	E	  0000	DOC_GROUP	  0000	DOC
	200	0000001028	017	DOC_GENERAL	  002	 0000	017		0000004354	 0015	  0000	SL	Spare Parts List	E	  0000	DOC_GROUP	  0000	EQU
